POPULATION,AREA,CAPACITY,Min_Temp_C,Max_Temp_C,Unemployment_Rate,OCCUPANCY_Rate
14075,1.7,60,-1.2,1.0,5.0,1.0
10140,3.4,45,-1.2,1.0,5.0,1.0
7790,1.4,72,-1.2,1.0,5.0,1.0
29180,2.8,27,-1.2,1.0,5.0,0.8148148148148148
28345,1.4,35,-1.2,1.0,5.0,0.9714285714285714
25640,9.6,106,-1.2,1.0,5.0,1.028301886792453
18500,1.5,40,-1.2,1.0,5.0,1.0
29180,2.8,25,-1.2,1.0,5.0,0.88
20635,4.6,62,-1.2,1.0,5.0,1.0
29180,2.8,50,-1.2,1.0,5.0,1.0
32790,4.6,53,-1.2,1.0,5.0,1.0
24775,7.4,51,-1.2,1.0,5.0,0.9803921568627451
7790,1.4,1466,0.9,6.2,5.0,0.9092769440654843
34635,3.7,124,0.9,6.2,5.0,0.9758064516129032
29180,2.8,76,0.9,6.2,5.0,0.9078947368421053
27870,7.4,362,0.9,6.2,5.0,0.8784530386740331
34650,14.9,28,0.9,6.2,5.0,0.8214285714285714
26550,9.6,460,0.9,6.2,5.0,0.8891304347826087
21000,3.1,177,0.9,6.2,5.0,0.9943502824858758
16310,1.4,90,0.9,6.2,5.0,1.2222222222222223
16615,3.1,89,0.9,6.2,5.0,0.9887640449438202
16310,1.4,513,0.9,6.2,5.0,0.98635477582846
43365,7.6,42,0.9,6.2,5.0,0.7857142857142857
18500,1.5,181,0.9,6.2,5.0,0.988950276243094
21075,2.2,56,0.9,6.2,5.0,1.0
28345,1.4,124,0.9,6.2,5.0,0.9758064516129032
20840,2.6,97,0.9,6.2,5.0,1.0
16310,1.4,51,0.9,6.2,5.0,1.0
43365,7.6,50,0.9,6.2,5.0,1.0
17955,7.3,40,0.9,6.2,5.0,1.0
15005,2.9,33,0.9,6.2,5.0,0.9696969696969697
17825,0.4,16,0.9,6.2,5.0,0.875
28345,1.4,63,0.9,6.2,5.0,0.9682539682539683
28345,1.4,44,0.9,6.2,5.0,1.0
14685,5.9,70,0.9,6.2,5.0,1.0
10010,0.6,100,0.9,6.2,5.0,1.0
17050,3.6,90,0.9,6.2,5.0,0.9333333333333333
34365,3.7,30,0.9,6.2,5.0,1.0
17050,3.6,377,0.9,6.2,5.0,0.9549071618037135
21000,3.1,88,0.9,6.2,5.0,0.9659090909090909
9855,1.5,45,0.9,6.2,5.0,1.0
11565,1.7,40,0.9,6.2,5.0,1.0
13985,1.7,91,0.9,6.2,5.0,0.945054945054945
13735,1.4,12,0.9,6.2,5.0,1.0
25640,9.6,22,0.9,6.2,5.0,1.0
26550,6.9,40,0.9,6.2,5.0,0.975
28345,1.4,44,0.9,6.2,5.0,0.9545454545454546
16425,4.1,30,0.9,6.2,5.0,1.0
17825,0.4,66,0.9,6.2,5.0,1.0
16310,1.4,50,0.9,6.2,5.0,1.0
16310,1.4,470,0.9,6.2,5.0,0.8808510638297873
14015,2.6,103,0.9,6.2,5.0,0.9902912621359223
21000,3.1,64,0.9,6.2,5.0,1.0
16310,1.4,120,0.9,6.2,5.0,1.0
16310,1.4,363,0.9,6.2,5.0,0.9807162534435262
14075,1.7,60,0.9,6.2,5.0,1.0
10140,3.4,45,0.9,6.2,5.0,1.0
7790,1.4,72,0.9,6.2,5.0,1.0
29180,2.8,27,0.9,6.2,5.0,0.8148148148148148
28345,1.4,35,0.9,6.2,5.0,0.9714285714285714
25640,9.6,106,0.9,6.2,5.0,1.028301886792453
18500,1.5,40,0.9,6.2,5.0,0.95
29180,2.8,25,0.9,6.2,5.0,0.88
20635,4.6,62,0.9,6.2,5.0,1.0
29180,2.8,50,0.9,6.2,5.0,0.98
32790,4.6,53,0.9,6.2,5.0,1.0
24775,7.4,51,0.9,6.2,5.0,0.9803921568627451
7790,1.4,1466,3.6,7.7,5.0,0.8969986357435198
34635,3.7,124,3.6,7.7,5.0,0.9919354838709677
29180,2.8,76,3.6,7.7,5.0,0.9078947368421053
27870,7.4,362,3.6,7.7,5.0,0.8784530386740331
34650,14.9,28,3.6,7.7,5.0,0.8214285714285714
26550,9.6,460,3.6,7.7,5.0,0.9
21000,3.1,177,3.6,7.7,5.0,0.9774011299435028
16310,1.4,90,3.6,7.7,5.0,1.2222222222222223
16615,3.1,89,3.6,7.7,5.0,0.9887640449438202
16310,1.4,512,3.6,7.7,5.0,0.970703125
43365,7.6,42,3.6,7.7,5.0,0.8095238095238095
18500,1.5,181,3.6,7.7,5.0,0.9834254143646409
21075,2.2,56,3.6,7.7,5.0,1.0
28345,1.4,124,3.6,7.7,5.0,0.9758064516129032
20840,2.6,97,3.6,7.7,5.0,1.0
16310,1.4,51,3.6,7.7,5.0,1.0
43365,7.6,50,3.6,7.7,5.0,1.0
17955,7.3,40,3.6,7.7,5.0,1.0
15005,2.9,33,3.6,7.7,5.0,0.9696969696969697
17825,0.4,16,3.6,7.7,5.0,0.875
28345,1.4,63,3.6,7.7,5.0,0.9682539682539683
28345,1.4,45,3.6,7.7,5.0,0.9777777777777777
14685,5.9,70,3.6,7.7,5.0,0.9857142857142858
10010,0.6,100,3.6,7.7,5.0,1.0
17050,3.6,90,3.6,7.7,5.0,0.9777777777777777
34365,3.7,30,3.6,7.7,5.0,1.0
17050,3.6,377,3.6,7.7,5.0,0.9522546419098143
21000,3.1,88,3.6,7.7,5.0,0.9659090909090909
9855,1.5,45,3.6,7.7,5.0,1.0
11565,1.7,40,3.6,7.7,5.0,0.975
13985,1.7,91,3.6,7.7,5.0,0.9560439560439561
13735,1.4,12,3.6,7.7,5.0,1.0
25640,9.6,22,3.6,7.7,5.0,1.0
26550,6.9,40,3.6,7.7,5.0,0.95
28345,1.4,44,3.6,7.7,5.0,0.9772727272727273
16425,4.1,30,3.6,7.7,5.0,1.0
17825,0.4,66,3.6,7.7,5.0,1.0
16310,1.4,50,3.6,7.7,5.0,0.96
16310,1.4,470,3.6,7.7,5.0,0.874468085106383
14015,2.6,103,3.6,7.7,5.0,0.9902912621359223
21000,3.1,64,3.6,7.7,5.0,0.9375
16310,1.4,120,3.6,7.7,5.0,1.0
16310,1.4,363,3.6,7.7,5.0,0.9917355371900827
14075,1.7,60,3.6,7.7,5.0,1.0
10140,3.4,45,3.6,7.7,5.0,1.0
7790,1.4,72,3.6,7.7,5.0,1.0
29180,2.8,27,3.6,7.7,5.0,0.8148148148148148
28345,1.4,35,3.6,7.7,5.0,1.0
25640,9.6,106,3.6,7.7,5.0,1.028301886792453
18500,1.5,40,3.6,7.7,5.0,1.0
29180,2.8,25,3.6,7.7,5.0,0.88
20635,4.6,62,3.6,7.7,5.0,1.0
29180,2.8,50,3.6,7.7,5.0,1.0
32790,4.6,53,3.6,7.7,5.0,0.9811320754716981
24775,7.4,51,3.6,7.7,5.0,0.9803921568627451
7790,1.4,1466,0.3,3.6,5.0,0.8949522510231923
34635,3.7,124,0.3,3.6,5.0,1.0
29180,2.8,76,0.3,3.6,5.0,0.9078947368421053
27870,7.4,362,0.3,3.6,5.0,0.8729281767955801
34650,14.9,28,0.3,3.6,5.0,0.8214285714285714
26550,9.6,460,0.3,3.6,5.0,0.8913043478260869
21000,3.1,177,0.3,3.6,5.0,0.9830508474576272
16310,1.4,90,0.3,3.6,5.0,1.2222222222222223
16615,3.1,89,0.3,3.6,5.0,0.9887640449438202
16310,1.4,512,0.3,3.6,5.0,0.966796875
43365,7.6,42,0.3,3.6,5.0,0.8095238095238095
18500,1.5,181,0.3,3.6,5.0,0.9834254143646409
21075,2.2,56,0.3,3.6,5.0,1.0
28345,1.4,124,0.3,3.6,5.0,0.9838709677419355
20840,2.6,97,0.3,3.6,5.0,1.0
16310,1.4,51,0.3,3.6,5.0,1.0
43365,7.6,50,0.3,3.6,5.0,1.0
17955,7.3,40,0.3,3.6,5.0,1.0
15005,2.9,33,0.3,3.6,5.0,0.9393939393939394
17825,0.4,16,0.3,3.6,5.0,0.875
28345,1.4,63,0.3,3.6,5.0,0.9523809523809523
28345,1.4,45,0.3,3.6,5.0,0.9777777777777777
14685,5.9,70,0.3,3.6,5.0,1.0
10010,0.6,100,0.3,3.6,5.0,0.99
17050,3.6,90,0.3,3.6,5.0,1.0
34365,3.7,30,0.3,3.6,5.0,1.0
17050,3.6,377,0.3,3.6,5.0,0.9628647214854111
21000,3.1,88,0.3,3.6,5.0,0.9659090909090909
9855,1.5,45,0.3,3.6,5.0,1.0
11565,1.7,40,0.3,3.6,5.0,1.0
13985,1.7,91,0.3,3.6,5.0,0.9560439560439561
13735,1.4,12,0.3,3.6,5.0,1.0
25640,9.6,22,0.3,3.6,5.0,1.0
26550,6.9,40,0.3,3.6,5.0,1.0
28345,1.4,44,0.3,3.6,5.0,1.0
16425,4.1,30,0.3,3.6,5.0,1.0
17825,0.4,66,0.3,3.6,5.0,1.0
16310,1.4,50,0.3,3.6,5.0,1.0
16310,1.4,470,0.3,3.6,5.0,0.8765957446808511
14015,2.6,103,0.3,3.6,5.0,1.0
21000,3.1,64,0.3,3.6,5.0,1.0
16310,1.4,120,0.3,3.6,5.0,1.0
16310,1.4,363,0.3,3.6,5.0,0.9917355371900827
14075,1.7,60,0.3,3.6,5.0,1.0
10140,3.4,45,0.3,3.6,5.0,1.0
7790,1.4,72,0.3,3.6,5.0,1.0
29180,2.8,27,0.3,3.6,5.0,0.8148148148148148
28345,1.4,35,0.3,3.6,5.0,1.0
25640,9.6,106,0.3,3.6,5.0,1.028301886792453
18500,1.5,40,0.3,3.6,5.0,1.0
29180,2.8,25,0.3,3.6,5.0,0.88
20635,4.6,62,0.3,3.6,5.0,1.0
29180,2.8,50,0.3,3.6,5.0,1.0
32790,4.6,53,0.3,3.6,5.0,0.9811320754716981
24775,7.4,51,0.3,3.6,5.0,0.9803921568627451
7790,1.4,1466,-1.2,1.9,5.0,0.8854024556616644
34635,3.7,124,-1.2,1.9,5.0,0.9919354838709677
29180,2.8,76,-1.2,1.9,5.0,0.9078947368421053
27870,7.4,362,-1.2,1.9,5.0,0.8729281767955801
34650,14.9,28,-1.2,1.9,5.0,0.8214285714285714
26550,9.6,460,-1.2,1.9,5.0,0.8869565217391304
21000,3.1,177,-1.2,1.9,5.0,0.9943502824858758
16310,1.4,90,-1.2,1.9,5.0,1.2222222222222223
16615,3.1,89,-1.2,1.9,5.0,0.9887640449438202
16310,1.4,512,-1.2,1.9,5.0,0.982421875
43365,7.6,42,-1.2,1.9,5.0,0.8095238095238095
18500,1.5,181,-1.2,1.9,5.0,0.9834254143646409
21075,2.2,56,-1.2,1.9,5.0,1.0
28345,1.4,124,-1.2,1.9,5.0,0.9758064516129032
20840,2.6,97,-1.2,1.9,5.0,1.0
16310,1.4,51,-1.2,1.9,5.0,1.0
43365,7.6,50,-1.2,1.9,5.0,1.0
17955,7.3,40,-1.2,1.9,5.0,1.0
15005,2.9,33,-1.2,1.9,5.0,0.9696969696969697
17825,0.4,16,-1.2,1.9,5.0,0.875
28345,1.4,63,-1.2,1.9,5.0,0.9523809523809523
28345,1.4,45,-1.2,1.9,5.0,0.9777777777777777
14685,5.9,70,-1.2,1.9,5.0,1.0
10010,0.6,100,-1.2,1.9,5.0,0.99
17050,3.6,90,-1.2,1.9,5.0,0.9888888888888889
34365,3.7,30,-1.2,1.9,5.0,1.0
17050,3.6,377,-1.2,1.9,5.0,0.9655172413793104
21000,3.1,88,-1.2,1.9,5.0,0.9659090909090909
9855,1.5,45,-1.2,1.9,5.0,0.9777777777777777
11565,1.7,40,-1.2,1.9,5.0,0.975
13985,1.7,91,-1.2,1.9,5.0,0.9560439560439561
13735,1.4,12,-1.2,1.9,5.0,1.0
25640,9.6,22,-1.2,1.9,5.0,0.9545454545454546
26550,6.9,40,-1.2,1.9,5.0,1.0
28345,1.4,44,-1.2,1.9,5.0,1.0
16425,4.1,30,-1.2,1.9,5.0,1.0
17825,0.4,66,-1.2,1.9,5.0,1.0
16310,1.4,50,-1.2,1.9,5.0,1.0
16310,1.4,470,-1.2,1.9,5.0,0.8787234042553191
14015,2.6,103,-1.2,1.9,5.0,0.9902912621359223
21000,3.1,64,-1.2,1.9,5.0,0.96875
16310,1.4,120,-1.2,1.9,5.0,0.9916666666666667
16310,1.4,363,-1.2,1.9,5.0,0.9862258953168044
14075,1.7,60,-1.2,1.9,5.0,1.0
10140,3.4,45,-1.2,1.9,5.0,1.0
7790,1.4,72,-1.2,1.9,5.0,1.0
29180,2.8,27,-1.2,1.9,5.0,0.8148148148148148
28345,1.4,35,-1.2,1.9,5.0,0.9428571428571428
25640,9.6,106,-1.2,1.9,5.0,1.028301886792453
18500,1.5,40,-1.2,1.9,5.0,0.975
29180,2.8,25,-1.2,1.9,5.0,0.88
20635,4.6,62,-1.2,1.9,5.0,0.9838709677419355
29180,2.8,50,-1.2,1.9,5.0,0.98
32790,4.6,53,-1.2,1.9,5.0,0.9811320754716981
24775,7.4,51,-1.2,1.9,5.0,0.9803921568627451
7790,1.4,1466,-1.7,2.9,5.0,0.878581173260573
34635,3.7,124,-1.7,2.9,5.0,0.9919354838709677
29180,2.8,76,-1.7,2.9,5.0,0.9078947368421053
27870,7.4,362,-1.7,2.9,5.0,0.8646408839779005
34650,14.9,28,-1.7,2.9,5.0,0.8214285714285714
26550,9.6,460,-1.7,2.9,5.0,0.8847826086956522
21000,3.1,177,-1.7,2.9,5.0,1.0
16310,1.4,90,-1.7,2.9,5.0,1.2222222222222223
16615,3.1,89,-1.7,2.9,5.0,0.9662921348314607
16310,1.4,512,-1.7,2.9,5.0,0.98046875
43365,7.6,42,-1.7,2.9,5.0,0.7619047619047619
18500,1.5,181,-1.7,2.9,5.0,0.988950276243094
21075,2.2,56,-1.7,2.9,5.0,1.0
28345,1.4,124,-1.7,2.9,5.0,0.9758064516129032
20840,2.6,97,-1.7,2.9,5.0,1.0
16310,1.4,51,-1.7,2.9,5.0,1.0
43365,7.6,50,-1.7,2.9,5.0,1.0
17955,7.3,40,-1.7,2.9,5.0,1.0
15005,2.9,33,-1.7,2.9,5.0,0.9393939393939394
17825,0.4,16,-1.7,2.9,5.0,0.875
28345,1.4,63,-1.7,2.9,5.0,0.9682539682539683
28345,1.4,45,-1.7,2.9,5.0,0.9777777777777777
14685,5.9,70,-1.7,2.9,5.0,1.0
10010,0.6,100,-1.7,2.9,5.0,0.99
17050,3.6,90,-1.7,2.9,5.0,0.9666666666666667
34365,3.7,30,-1.7,2.9,5.0,0.9666666666666667
17050,3.6,377,-1.7,2.9,5.0,0.9681697612732095
21000,3.1,88,-1.7,2.9,5.0,0.9659090909090909
9855,1.5,45,-1.7,2.9,5.0,1.0
11565,1.7,40,-1.7,2.9,5.0,1.0
13985,1.7,91,-1.7,2.9,5.0,0.9560439560439561
13735,1.4,12,-1.7,2.9,5.0,1.0
25640,9.6,22,-1.7,2.9,5.0,0.9545454545454546
26550,6.9,40,-1.7,2.9,5.0,1.0
28345,1.4,44,-1.7,2.9,5.0,1.0
16425,4.1,30,-1.7,2.9,5.0,1.0
17825,0.4,66,-1.7,2.9,5.0,1.0
16310,1.4,50,-1.7,2.9,5.0,1.0
16310,1.4,470,-1.7,2.9,5.0,0.8765957446808511
14015,2.6,103,-1.7,2.9,5.0,1.0
21000,3.1,64,-1.7,2.9,5.0,0.984375
16310,1.4,120,-1.7,2.9,5.0,1.0
16310,1.4,363,-1.7,2.9,5.0,0.9889807162534435
14075,1.7,60,-1.7,2.9,5.0,1.0
10140,3.4,45,-1.7,2.9,5.0,1.0
7790,1.4,72,-1.7,2.9,5.0,1.0
29180,2.8,27,-1.7,2.9,5.0,0.8148148148148148
28345,1.4,35,-1.7,2.9,5.0,1.0
25640,9.6,106,-1.7,2.9,5.0,1.028301886792453
18500,1.5,40,-1.7,2.9,5.0,1.0
29180,2.8,25,-1.7,2.9,5.0,0.88
20635,4.6,62,-1.7,2.9,5.0,1.0
29180,2.8,50,-1.7,2.9,5.0,0.98
32790,4.6,53,-1.7,2.9,5.0,0.9811320754716981
24775,7.4,51,-1.7,2.9,5.0,0.9803921568627451
7790,1.4,1466,-3.0,3.9,5.0,0.8778990450204639
34635,3.7,124,-3.0,3.9,5.0,0.9919354838709677
29180,2.8,76,-3.0,3.9,5.0,0.9078947368421053
27870,7.4,362,-3.0,3.9,5.0,0.8646408839779005
34650,14.9,28,-3.0,3.9,5.0,0.8214285714285714
26550,9.6,460,-3.0,3.9,5.0,0.8913043478260869
21000,3.1,177,-3.0,3.9,5.0,0.9887005649717514
16310,1.4,90,-3.0,3.9,5.0,1.2333333333333334
16615,3.1,89,-3.0,3.9,5.0,0.9662921348314607
16310,1.4,512,-3.0,3.9,5.0,0.978515625
43365,7.6,42,-3.0,3.9,5.0,0.7619047619047619
18500,1.5,181,-3.0,3.9,5.0,0.988950276243094
21075,2.2,56,-3.0,3.9,5.0,1.0
28345,1.4,124,-3.0,3.9,5.0,0.9838709677419355
20840,2.6,97,-3.0,3.9,5.0,1.0
16310,1.4,51,-3.0,3.9,5.0,1.0
43365,7.6,50,-3.0,3.9,5.0,1.0
17955,7.3,40,-3.0,3.9,5.0,1.0
15005,2.9,33,-3.0,3.9,5.0,0.9696969696969697
17825,0.4,16,-3.0,3.9,5.0,0.875
28345,1.4,63,-3.0,3.9,5.0,0.9682539682539683
28345,1.4,45,-3.0,3.9,5.0,1.0
14685,5.9,70,-3.0,3.9,5.0,1.0
10010,0.6,100,-3.0,3.9,5.0,0.98
17050,3.6,90,-3.0,3.9,5.0,0.9888888888888889
34365,3.7,30,-3.0,3.9,5.0,1.0
17050,3.6,377,-3.0,3.9,5.0,0.9575596816976127
21000,3.1,88,-3.0,3.9,5.0,0.9659090909090909
9855,1.5,45,-3.0,3.9,5.0,1.0
11565,1.7,40,-3.0,3.9,5.0,0.975
13985,1.7,91,-3.0,3.9,5.0,0.9560439560439561
13735,1.4,12,-3.0,3.9,5.0,1.0
25640,9.6,22,-3.0,3.9,5.0,0.9545454545454546
26550,6.9,40,-3.0,3.9,5.0,1.0
28345,1.4,44,-3.0,3.9,5.0,0.9772727272727273
16425,4.1,30,-3.0,3.9,5.0,1.0
17825,0.4,66,-3.0,3.9,5.0,1.0
16310,1.4,50,-3.0,3.9,5.0,1.0
16310,1.4,470,-3.0,3.9,5.0,0.8787234042553191
14015,2.6,103,-3.0,3.9,5.0,1.0
21000,3.1,64,-3.0,3.9,5.0,1.0
16310,1.4,120,-3.0,3.9,5.0,1.0
16310,1.4,363,-3.0,3.9,5.0,0.9917355371900827
14075,1.7,60,-3.0,3.9,5.0,1.0
10140,3.4,45,-3.0,3.9,5.0,1.0
7790,1.4,72,-3.0,3.9,5.0,1.0
29180,2.8,27,-3.0,3.9,5.0,0.8148148148148148
28345,1.4,35,-3.0,3.9,5.0,1.0
25640,9.6,106,-3.0,3.9,5.0,1.028301886792453
18500,1.5,40,-3.0,3.9,5.0,0.975
29180,2.8,25,-3.0,3.9,5.0,0.92
20635,4.6,62,-3.0,3.9,5.0,1.0
29180,2.8,50,-3.0,3.9,5.0,1.0
32790,4.6,53,-3.0,3.9,5.0,0.9811320754716981
24775,7.4,51,-3.0,3.9,5.0,0.9803921568627451
7790,1.4,1466,-7.9,0.7,5.0,0.8772169167803547
34635,3.7,124,-7.9,0.7,5.0,0.9919354838709677
29180,2.8,76,-7.9,0.7,5.0,0.9078947368421053
27870,7.4,362,-7.9,0.7,5.0,0.8729281767955801
34650,14.9,28,-7.9,0.7,5.0,0.8214285714285714
26550,9.6,460,-7.9,0.7,5.0,0.908695652173913
21000,3.1,177,-7.9,0.7,5.0,0.9943502824858758
16310,1.4,90,-7.9,0.7,5.0,1.2333333333333334
16615,3.1,89,-7.9,0.7,5.0,0.9887640449438202
16310,1.4,512,-7.9,0.7,5.0,0.990234375
43365,7.6,42,-7.9,0.7,5.0,0.7619047619047619
18500,1.5,181,-7.9,0.7,5.0,0.9834254143646409
21075,2.2,56,-7.9,0.7,5.0,1.0
28345,1.4,124,-7.9,0.7,5.0,0.9838709677419355
20840,2.6,97,-7.9,0.7,5.0,1.0
16310,1.4,51,-7.9,0.7,5.0,1.0
43365,7.6,50,-7.9,0.7,5.0,1.0
17955,7.3,40,-7.9,0.7,5.0,1.0
15005,2.9,33,-7.9,0.7,5.0,0.9393939393939394
17825,0.4,16,-7.9,0.7,5.0,0.875
28345,1.4,63,-7.9,0.7,5.0,0.9682539682539683
28345,1.4,45,-7.9,0.7,5.0,1.0
14685,5.9,70,-7.9,0.7,5.0,1.0
10010,0.6,100,-7.9,0.7,5.0,0.98
17050,3.6,90,-7.9,0.7,5.0,1.0
34365,3.7,30,-7.9,0.7,5.0,1.0
17050,3.6,377,-7.9,0.7,5.0,0.9655172413793104
21000,3.1,88,-7.9,0.7,5.0,0.9659090909090909
9855,1.5,45,-7.9,0.7,5.0,1.0
11565,1.7,40,-7.9,0.7,5.0,1.0
13985,1.7,91,-7.9,0.7,5.0,0.967032967032967
13735,1.4,12,-7.9,0.7,5.0,1.0
25640,9.6,22,-7.9,0.7,5.0,0.9545454545454546
26550,6.9,40,-7.9,0.7,5.0,1.0
28345,1.4,44,-7.9,0.7,5.0,1.0
16425,4.1,30,-7.9,0.7,5.0,1.0
17825,0.4,66,-7.9,0.7,5.0,1.0
16310,1.4,50,-7.9,0.7,5.0,1.0
16310,1.4,470,-7.9,0.7,5.0,0.8723404255319149
14015,2.6,103,-7.9,0.7,5.0,1.0
21000,3.1,64,-7.9,0.7,5.0,0.96875
16310,1.4,120,-7.9,0.7,5.0,1.0
16310,1.4,363,-7.9,0.7,5.0,0.9917355371900827
14075,1.7,60,-7.9,0.7,5.0,1.0
10140,3.4,45,-7.9,0.7,5.0,1.0
7790,1.4,72,-7.9,0.7,5.0,1.0
29180,2.8,27,-7.9,0.7,5.0,0.8148148148148148
28345,1.4,35,-7.9,0.7,5.0,0.9714285714285714
25640,9.6,106,-7.9,0.7,5.0,1.028301886792453
18500,1.5,40,-7.9,0.7,5.0,1.0
29180,2.8,25,-7.9,0.7,5.0,0.92
20635,4.6,62,-7.9,0.7,5.0,1.0
29180,2.8,50,-7.9,0.7,5.0,1.0
32790,4.6,53,-7.9,0.7,5.0,1.0
24775,7.4,51,-7.9,0.7,5.0,0.9803921568627451
7790,1.4,1466,-9.8,3.4,5.0,0.8867667121418826
34635,3.7,124,-9.8,3.4,5.0,1.0
29180,2.8,76,-9.8,3.4,5.0,0.9078947368421053
27870,7.4,362,-9.8,3.4,5.0,0.8729281767955801
34650,14.9,28,-9.8,3.4,5.0,0.8571428571428571
26550,9.6,460,-9.8,3.4,5.0,0.9282608695652174
21000,3.1,177,-9.8,3.4,5.0,1.0
16310,1.4,90,-9.8,3.4,5.0,1.2333333333333334
16615,3.1,89,-9.8,3.4,5.0,0.9887640449438202
16310,1.4,512,-9.8,3.4,5.0,0.98828125
43365,7.6,42,-9.8,3.4,5.0,0.7857142857142857
18500,1.5,181,-9.8,3.4,5.0,0.9779005524861878
21075,2.2,56,-9.8,3.4,5.0,1.0
28345,1.4,124,-9.8,3.4,5.0,0.9838709677419355
20840,2.6,97,-9.8,3.4,5.0,0.9896907216494846
16310,1.4,51,-9.8,3.4,5.0,1.0
43365,7.6,50,-9.8,3.4,5.0,1.0
17955,7.3,40,-9.8,3.4,5.0,0.975
15005,2.9,33,-9.8,3.4,5.0,0.9696969696969697
17825,0.4,16,-9.8,3.4,5.0,0.875
28345,1.4,63,-9.8,3.4,5.0,0.9682539682539683
28345,1.4,45,-9.8,3.4,5.0,0.9111111111111111
14685,5.9,70,-9.8,3.4,5.0,1.0
10010,0.6,100,-9.8,3.4,5.0,1.0
17050,3.6,90,-9.8,3.4,5.0,1.0
34365,3.7,30,-9.8,3.4,5.0,1.0
17050,3.6,377,-9.8,3.4,5.0,0.9628647214854111
21000,3.1,88,-9.8,3.4,5.0,0.9659090909090909
9855,1.5,45,-9.8,3.4,5.0,0.9555555555555556
11565,1.7,40,-9.8,3.4,5.0,1.0
13985,1.7,91,-9.8,3.4,5.0,0.967032967032967
13735,1.4,12,-9.8,3.4,5.0,1.0
25640,9.6,22,-9.8,3.4,5.0,0.9545454545454546
26550,6.9,40,-9.8,3.4,5.0,1.0
28345,1.4,44,-9.8,3.4,5.0,1.0
16425,4.1,30,-9.8,3.4,5.0,1.0
17825,0.4,66,-9.8,3.4,5.0,1.0
16310,1.4,50,-9.8,3.4,5.0,0.98
16310,1.4,470,-9.8,3.4,5.0,0.8659574468085106
14015,2.6,103,-9.8,3.4,5.0,1.0
21000,3.1,64,-9.8,3.4,5.0,0.96875
16310,1.4,120,-9.8,3.4,5.0,1.0
16310,1.4,363,-9.8,3.4,5.0,0.9834710743801653
14075,1.7,60,-9.8,3.4,5.0,1.0
10140,3.4,45,-9.8,3.4,5.0,1.0
7790,1.4,72,-9.8,3.4,5.0,1.0
29180,2.8,27,-9.8,3.4,5.0,0.8148148148148148
28345,1.4,35,-9.8,3.4,5.0,0.9428571428571428
25640,9.6,106,-9.8,3.4,5.0,1.028301886792453
18500,1.5,40,-9.8,3.4,5.0,1.0
29180,2.8,25,-9.8,3.4,5.0,0.92
20635,4.6,62,-9.8,3.4,5.0,1.0
29180,2.8,50,-9.8,3.4,5.0,1.0
32790,4.6,53,-9.8,3.4,5.0,1.0
24775,7.4,51,-9.8,3.4,5.0,0.9803921568627451
